ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
2.63,1.17,0.6,0.6,0.3,9.9,3.9,0.5,0.8,51.3,福田　俊,日本ハム,12.4,2026,29,2
3.03,1.23,4.5,3.8,0.9,45.8,17.1,2.4,4.4,272.7,大野　雄大,中日,66.5,2026,37,3
2.92,1.12,1.2,1.4,0.5,18.5,7.9,1.1,1.5,97.9,齋藤　響介,オリックス,23.2,2026,21,2
3.34,1.23,0.4,0.5,0.2,7.6,2.9,0.4,0.9,39.7,金久保　優斗,ヤクルト,9.4,2026,26,3
2.78,1.22,1.5,1.2,0.7,18.8,7.6,1.1,1.7,104.5,国吉　佑樹,ロッテ,25.4,2026,34,2
2.94,1.2,0.5,0.5,0.2,7.0,3.0,0.3,0.5,35.6,矢澤　宏太,日本ハム,8.5,2026,25,2
2.96,1.17,0.2,0.2,0.1,3.0,1.1,0.1,0.3,15.6,前　佑囲斗,オリックス,3.7,2026,24,2
3.19,1.29,0.1,0.1,0.1,1.6,0.6,0.1,0.1,8.3,高木　京介,巨人,2.0,2026,36,1
3.11,1.26,0.1,0.1,0.0,0.8,0.3,0.0,0.1,4.2,小林　慶祐,阪神,1.0,2026,33,1
3.18,1.28,0.0,0.0,0.0,0.3,0.1,0.0,0.0,1.4,一岡　竜司,広島,0.3,2026,35,1
2.01,1.02,2.8,2.5,22.4,53.7,12.7,1.4,2.8,215.1,マルティネス,巨人,54.6,2026,33,3
2.87,1.2,0.5,0.5,0.3,8.8,3.6,0.4,0.7,45.4,豆田　泰志,西武,10.7,2026,23,3
3.23,1.24,0.4,0.4,0.2,6.4,2.8,0.3,0.7,34.2,根尾　昂,中日,8.1,2026,25,3
2.46,1.22,2.6,1.5,0.6,30.5,12.5,1.7,1.8,148.6,齋藤　綱記,中日,35.7,2026,29,3
2.65,1.17,4.4,5.0,1.0,58.6,26.1,3.4,5.7,367.3,渡邉　勇太朗,西武,87.8,2026,25,3
2.93,1.16,0.7,1.2,0.4,12.9,5.0,0.9,1.1,69.7,佐々木　健,西武,16.7,2026,26,2
3.08,1.17,2.0,1.9,8.1,27.3,9.2,1.6,2.6,145.1,オスナ,ソフトバンク,35.9,2026,33,3
3.23,1.24,2.4,3.7,1.0,43.7,17.2,2.0,3.3,217.9,梅津　晃大,中日,52.3,2026,29,2
2.01,1.01,8.8,4.1,2.0,125.2,35.6,3.5,8.2,514.4,モイネロ,ソフトバンク,130.8,2026,30,3
2.63,1.11,2.2,2.8,1.5,41.1,15.5,1.4,3.4,208.9,藤嶋　健人,中日,50.9,2026,27,3
3.16,1.25,1.3,1.1,0.7,17.4,6.9,0.7,1.6,92.6,澤田　圭佑,ロッテ,22.2,2026,31,3
2.78,1.17,1.2,0.8,0.4,14.5,5.6,0.7,1.2,75.5,長谷川　威展,ソフトバンク,18.0,2026,26,2
3.36,1.46,0.9,0.9,2.6,11.4,4.6,0.4,1.0,62.0,平野　佳寿,オリックス,14.5,2026,42,3
2.95,1.26,1.8,1.6,0.6,27.8,10.5,1.1,1.9,133.6,山田　修義,オリックス,32.0,2026,34,3
2.93,1.28,0.9,1.1,0.5,14.9,5.3,0.7,1.3,81.7,野村　祐輔,広島,19.6,2026,36,2
2.72,1.23,2.1,1.9,0.6,33.4,12.8,1.6,2.1,159.0,橋本　侑樹,中日,37.8,2026,28,3
2.15,1.04,12.1,7.6,2.7,149.2,39.3,6.2,7.3,662.3,山本　由伸,オリックス,164.0,2026,27,1
3.29,1.28,0.9,0.7,0.4,14.3,5.8,0.6,1.1,71.5,西村　天裕,ロッテ,17.0,2026,32,3
2.13,1.06,1.8,2.2,10.2,50.4,14.1,2.4,2.2,199.0,松山　晋也,中日,48.9,2026,25,3
2.79,1.16,1.0,0.7,0.5,13.6,5.4,0.7,1.2,76.3,岡留　英貴,阪神,18.3,2026,26,3
2.71,1.22,0.9,1.2,0.5,17.9,7.2,0.8,1.6,96.2,中村　祐太,西武,23.2,2026,30,3
1.93,1.08,2.3,1.6,2.7,41.6,12.0,1.3,2.0,194.4,石井　大智,阪神,48.3,2026,28,3
2.68,1.17,2.1,1.3,0.7,25.4,8.8,1.0,1.8,124.4,山本　拓実,日本ハム,29.9,2026,26,3
2.88,1.21,1.3,1.2,0.6,21.9,8.3,1.0,2.1,113.4,田村　伊知郎,西武,27.3,2026,31,3
3.33,1.36,1.0,1.4,0.5,18.7,7.8,0.7,1.8,102.8,本田　圭佑,オリックス,24.2,2026,32,3
2.71,1.15,2.9,3.1,10.0,52.2,16.1,1.7,3.8,235.3,松井　裕樹,楽天,57.3,2026,30,1
2.93,1.22,0.6,0.6,0.3,9.3,3.6,0.4,0.8,47.2,笠谷　俊介,ソフトバンク,11.3,2026,29,1
2.45,1.09,3.3,2.8,0.8,55.3,18.5,2.6,3.2,223.3,山下　舜平大,オリックス,54.1,2026,23,3
3.26,1.24,0.4,0.4,0.2,6.4,2.5,0.4,0.6,32.2,益田　武尚,広島,7.6,2026,27,3
2.62,1.16,1.9,1.6,0.6,27.5,8.7,1.0,2.0,124.6,高野　脩汰,ロッテ,30.0,2026,27,3
2.68,1.21,2.0,2.0,1.2,34.2,12.8,1.8,2.3,168.4,ウェンデルケン,DeNA,40.6,2026,33,2
2.88,1.23,1.6,1.2,0.4,15.3,6.0,0.9,1.3,87.7,島本　浩也,阪神,21.2,2026,33,3
2.93,1.29,1.6,1.4,1.6,26.1,11.1,0.7,1.6,118.3,バルドナード,巨人,28.2,2026,33,3
2.78,1.09,1.7,2.1,0.6,28.8,9.7,2.0,3.0,146.1,河野　竜生,日本ハム,35.8,2026,27,3
2.94,1.27,1.4,1.3,0.8,22.1,8.8,1.0,1.8,110.8,Ｋ．ケラー,阪神,26.3,2026,32,1
3.03,1.37,1.1,0.8,0.5,13.5,5.6,0.7,1.1,67.6,ターリー,楽天,16.0,2026,36,3
2.33,0.98,10.2,7.3,1.1,135.8,30.5,4.4,9.1,637.3,村上　頌樹,阪神,160.4,2026,27,3
2.63,1.19,2.7,3.2,16.1,45.9,15.0,1.3,3.0,223.0,岩崎　優,阪神,54.5,2026,34,3
2.7,1.18,1.5,1.4,0.8,23.4,10.6,1.0,1.7,109.7,宇田川　優希,オリックス,26.2,2026,27,2
2.41,1.0,7.3,5.0,1.4,109.5,27.7,5.5,4.2,415.1,佐々木　朗希,ロッテ,102.4,2026,24,2
2.51,1.13,2.5,1.7,0.9,41.5,13.0,2.0,1.9,197.6,桐敷　拓馬,阪神,47.7,2026,26,3
2.62,1.07,4.9,5.1,1.0,67.7,19.0,2.4,6.8,370.0,金村　尚真,日本ハム,91.3,2026,25,3
1.99,1.07,10.6,5.6,1.1,123.0,41.2,2.1,7.1,612.5,才木　浩人,阪神,151.0,2026,27,3
2.83,1.19,1.7,2.4,5.0,29.9,10.5,1.3,2.0,147.0,田口　麗斗,ヤクルト,35.5,2026,30,3
3.14,1.22,0.5,0.5,0.3,7.8,2.9,0.3,0.8,42.2,高田　孝一,楽天,10.0,2026,27,2
3.45,1.27,0.9,0.9,0.5,17.5,5.9,1.3,1.4,92.4,津留﨑　大成,楽天,21.7,2026,28,3
3.03,1.24,0.7,0.7,0.8,11.5,4.5,0.5,1.0,58.2,クリスキー,西武,14.0,2026,32,1
2.99,1.27,1.6,1.4,1.1,22.9,9.0,0.9,1.9,115.6,森脇　亮介,西武,27.7,2026,33,1
2.56,1.17,2.0,1.9,0.6,30.3,11.2,1.4,2.2,154.4,石川　達也,巨人,37.2,2026,27,3
2.35,1.08,13.1,6.3,1.2,132.8,29.7,4.8,13.1,687.3,東　克樹,DeNA,170.9,2026,30,3
3.17,1.24,2.5,2.2,0.7,33.3,12.6,1.2,2.2,156.0,勝野　昌慶,中日,37.2,2026,28,3
2.72,1.13,2.6,2.3,0.7,31.9,13.0,2.8,2.4,180.7,東　晃平,オリックス,43.5,2026,26,3
3.09,1.26,2.2,2.5,0.8,32.5,13.8,1.7,2.9,165.3,メンデス,巨人,39.8,2026,35,2
2.93,1.19,1.3,1.3,1.3,24.1,8.6,1.0,2.2,110.8,山﨑　颯一郎,オリックス,26.6,2026,27,3
3.06,1.27,1.6,2.6,2.1,32.2,9.8,1.5,3.0,154.7,中川　皓太,巨人,36.8,2026,32,3
3.22,1.29,1.7,1.5,0.5,23.5,9.6,1.2,2.4,123.4,上茶谷　大河,ソフトバンク,29.0,2026,29,3
3.11,1.28,0.7,0.9,0.4,12.1,5.8,0.7,1.0,69.1,水上　由伸,西武,16.3,2026,27,3
2.76,1.25,1.9,2.3,1.4,31.3,12.0,1.1,2.1,174.1,ペルドモ,オリックス,42.1,2026,32,3
3.1,1.21,1.1,1.2,0.6,21.1,7.4,1.0,1.8,112.6,生田目　翼,日本ハム,27.4,2026,31,3
2.83,1.22,9.9,9.6,1.2,104.7,42.5,3.8,11.7,685.7,床田　寛樹,広島,166.1,2026,31,3
2.7,1.12,1.7,1.3,0.6,22.9,7.7,0.8,2.0,116.6,小木田　敦也,オリックス,28.6,2026,27,2
3.29,1.36,2.7,2.2,1.1,36.9,14.0,1.8,3.0,186.4,アンダーソン,広島,45.0,2026,44,1
3.01,1.21,3.0,2.7,0.7,42.5,15.2,2.5,2.8,199.7,ビーズリー,阪神,48.0,2026,30,3
2.98,1.23,6.1,8.7,1.1,91.6,37.1,5.9,8.2,533.2,髙橋　光成,西武,127.5,2026,29,3
3.81,1.32,2.8,3.4,0.8,39.0,17.4,2.0,4.8,229.0,メヒア,中日,55.3,2026,40,3
2.21,1.04,3.0,2.5,0.9,40.4,13.6,1.5,2.6,181.4,及川　雅貴,阪神,44.7,2026,24,3
3.22,1.26,1.8,1.8,0.7,26.1,10.3,1.7,2.4,146.2,又吉　克樹,ソフトバンク,35.2,2026,35,2
3.28,1.37,0.6,0.5,0.3,8.4,3.1,0.5,0.8,44.4,比嘉　幹貴,オリックス,10.7,2026,43,2
3.11,1.21,0.8,0.9,0.5,15.7,6.2,0.7,2.0,79.8,菊地　吏玖,ロッテ,18.9,2026,25,3
2.79,1.11,9.3,5.1,1.1,79.0,22.5,4.5,7.7,492.3,大竹　耕太郎,阪神,122.0,2026,30,3
2.29,1.01,7.8,5.9,1.1,138.8,31.6,5.0,7.6,592.8,宮城　大弥,オリックス,146.5,2026,24,3
2.88,1.15,4.4,5.0,1.2,51.6,24.0,2.8,6.6,357.4,内　星龍,楽天,85.4,2026,23,3
3.0,1.34,6.3,4.8,1.0,62.8,30.9,4.5,6.7,410.5,藤井　聖,楽天,96.5,2026,29,3
2.31,1.06,9.7,6.6,1.1,159.5,54.9,7.4,8.7,643.9,今井　達也,西武,159.2,2026,27,3
3.07,1.23,2.4,1.9,1.0,35.6,11.9,1.6,2.4,169.0,山岡　泰輔,オリックス,40.3,2026,30,3
2.85,1.16,12.0,7.7,1.1,118.9,38.7,6.8,11.5,668.2,有原　航平,ソフトバンク,164.0,2026,33,3
2.51,1.14,4.7,3.4,1.3,52.2,19.6,1.6,2.9,234.4,島内　颯太郎,広島,57.1,2026,29,3
3.07,1.23,1.3,1.0,0.5,18.3,7.9,0.8,1.6,106.7,中村　稔弥,ロッテ,25.5,2026,29,3
2.88,1.18,1.8,2.7,7.1,36.2,10.4,1.5,2.5,173.5,森原　康平,DeNA,42.2,2026,34,3
2.41,1.14,2.8,2.6,1.4,54.7,18.1,2.5,3.0,212.5,藤井　皓哉,ソフトバンク,51.6,2026,29,3
2.7,1.13,9.8,7.8,1.1,122.8,43.7,4.4,10.8,612.9,戸郷　翔征,巨人,148.8,2026,25,3
2.82,1.19,0.9,0.8,0.4,13.4,5.2,1.0,1.1,70.2,田浦　文丸,ソフトバンク,16.7,2026,26,2
3.09,1.25,0.6,0.6,0.3,9.4,3.5,0.4,0.8,47.4,ブルワー,阪神,11.3,2026,33,1
3.14,1.14,5.4,4.6,1.0,62.7,20.1,2.4,7.0,400.0,伊藤　将司,阪神,98.0,2026,29,3
2.35,1.17,4.9,3.6,8.7,69.4,26.7,3.7,3.8,314.4,平良　海馬,西武,75.7,2026,26,3
2.91,1.22,3.3,1.8,0.9,31.7,14.4,1.1,2.1,163.2,渡辺　翔太,楽天,38.6,2026,25,3
2.63,1.1,4.9,3.6,0.9,56.5,17.6,2.2,6.7,312.4,大津　亮介,ソフトバンク,77.3,2026,27,3
3.09,1.25,4.1,6.0,1.0,69.2,29.4,3.3,5.0,395.7,柳　裕也,中日,95.0,2026,31,3
3.01,1.22,0.5,0.4,0.2,7.2,2.8,0.3,0.6,36.6,馬場　皐輔,巨人,8.8,2026,30,3
3.05,1.26,1.3,1.3,0.6,17.0,6.7,0.9,1.5,90.6,マーベル,日本ハム,21.7,2026,32,1
2.99,1.2,1.4,1.7,0.6,23.9,10.9,1.3,1.9,128.4,佐藤　隼輔,西武,30.6,2026,26,3
2.89,1.23,8.8,8.6,1.1,115.1,43.0,6.3,9.4,638.9,九里　亜蓮,オリックス,155.9,2026,34,3
2.33,1.07,8.9,8.3,1.1,134.5,45.2,5.8,7.6,636.7,髙橋　宏斗,中日,155.9,2026,23,3
2.83,1.2,1.8,2.0,0.8,28.9,11.9,1.7,2.5,145.5,甲斐野　央,西武,35.0,2026,29,3
2.95,1.18,1.0,1.4,0.6,20.4,7.0,0.7,1.9,98.9,中川　虎大,DeNA,23.7,2026,26,3
3.15,1.31,1.6,1.5,0.6,21.1,9.1,0.9,2.0,118.7,平井　克典,西武,28.2,2026,34,2
2.95,1.24,1.4,0.9,0.6,20.4,8.7,1.1,1.7,108.7,山本　大貴,ヤクルト,25.9,2026,30,3
2.73,1.25,0.7,0.7,0.3,12.0,5.5,0.5,0.9,63.8,福　敬登,中日,15.2,2026,33,3
3.29,1.32,1.7,1.7,0.8,26.0,11.0,1.2,2.3,134.0,加治屋　蓮,楽天,31.9,2026,34,3
3.14,1.32,4.3,4.7,11.6,61.9,23.2,2.5,4.7,334.5,則本　昂大,楽天,79.4,2026,35,3
2.71,1.16,2.3,1.9,0.6,24.2,11.1,1.8,2.5,156.6,鈴木　健矢,広島,37.8,2026,28,3
2.93,1.23,1.9,1.9,1.1,26.0,9.3,1.6,2.2,141.6,玉井　大翔,日本ハム,34.1,2026,33,2
3.21,1.41,1.1,1.3,0.5,18.8,7.5,0.8,1.7,96.4,宮西　尚生,日本ハム,22.7,2026,40,3
2.53,1.1,2.9,2.3,3.0,46.5,14.8,2.0,3.5,196.8,松本　裕樹,ソフトバンク,48.4,2026,29,3
3.2,1.27,5.0,5.3,1.0,65.3,22.9,3.3,5.5,374.4,西野　勇士,ロッテ,90.7,2026,35,3
3.0,1.25,1.1,1.3,0.5,18.8,7.1,1.0,1.7,94.7,阿部　翔太,オリックス,22.7,2026,33,3
2.97,1.27,1.4,1.1,0.5,18.6,6.9,0.9,1.4,98.9,岩貞　祐太,阪神,23.8,2026,34,3
2.85,1.11,2.5,1.9,0.7,33.1,11.3,2.0,4.0,163.6,船迫　大雅,巨人,40.2,2026,29,3
2.95,1.2,2.2,2.2,5.5,35.0,13.9,1.5,3.2,167.2,入江　大生,DeNA,39.8,2026,27,2
2.55,1.09,9.9,5.7,1.1,117.2,37.6,7.2,9.4,618.3,山﨑　伊織,巨人,151.5,2026,27,3
2.98,1.27,2.5,2.4,1.5,38.0,17.9,2.4,3.2,202.6,木澤　尚文,ヤクルト,47.4,2026,27,3
3.04,1.22,0.8,0.7,0.3,12.1,4.6,0.6,1.1,60.0,大道　温貴,広島,14.3,2026,27,3
2.86,1.19,1.8,1.6,0.6,25.6,8.3,1.8,2.0,138.0,中﨑　翔太,広島,33.4,2026,33,3
2.69,1.1,5.8,3.8,1.0,96.1,25.0,4.6,6.0,412.6,グリフィン,巨人,101.6,2026,30,3
3.39,1.3,2.3,3.1,0.9,34.3,13.1,2.1,3.0,185.8,上原　健太,日本ハム,43.9,2026,32,3
3.77,1.33,6.6,7.5,1.4,117.4,40.8,4.4,12.8,555.1,バウアー,DeNA,132.5,2026,35,2
2.74,1.17,1.5,1.8,2.1,27.0,10.1,1.2,2.0,133.5,鈴木　昭汰,ロッテ,32.2,2026,27,3
3.09,1.24,1.4,1.2,0.8,19.0,7.3,0.9,2.4,99.2,杉浦　稔大,日本ハム,24.0,2026,34,3
3.01,1.18,7.6,6.3,2.5,142.9,35.4,5.0,13.3,608.1,今永　昇太,DeNA,148.0,2026,32,1
2.88,1.23,2.1,1.5,3.3,30.5,13.5,1.0,2.6,160.1,矢崎　拓也,ヤクルト,38.7,2026,31,3
3.01,1.27,1.6,2.1,0.9,28.5,11.8,1.6,2.3,148.0,ティノコ,西武,35.0,2026,30,1
3.06,1.16,1.4,2.1,0.6,24.2,8.5,1.3,2.4,121.8,池田　隆英,日本ハム,29.6,2026,31,3
3.11,1.2,8.6,7.8,1.1,88.6,22.3,2.5,13.6,593.6,加藤　貴之,日本ハム,146.0,2026,33,3
3.09,1.17,0.8,0.7,0.3,10.9,4.7,0.7,0.9,55.9,根本　悠楓,日本ハム,13.2,2026,23,2
3.18,1.24,1.5,1.3,0.7,21.5,7.6,1.0,2.4,119.6,宋　家豪,楽天,28.9,2026,33,3
3.44,1.28,0.6,0.7,0.3,10.7,4.1,0.5,1.0,55.8,東妻　勇輔,ロッテ,13.2,2026,29,3
2.39,1.04,8.7,5.7,1.1,90.3,34.4,6.4,10.2,517.6,大関　友久,ソフトバンク,128.1,2026,28,3
2.65,1.11,2.0,3.5,11.8,50.2,16.7,1.7,3.5,216.5,栗林　良吏,広島,53.2,2026,29,3
2.99,1.19,1.4,1.1,0.6,20.4,8.4,0.9,1.9,105.9,岩下　大輝,ロッテ,25.5,2026,29,2
3.07,1.19,4.1,5.2,0.9,55.6,19.8,3.3,5.3,315.6,大貫　晋一,DeNA,76.4,2026,32,3
2.98,1.15,10.1,7.5,1.5,120.5,40.4,5.3,12.2,628.6,上沢　直之,ソフトバンク,154.2,2026,32,2
2.96,1.19,1.0,1.4,0.7,16.8,8.0,0.6,1.9,96.5,青山　美夏人,西武,23.0,2026,25,3
3.61,1.28,1.2,2.7,1.1,29.1,9.0,1.2,2.6,149.8,清水　昇,ヤクルト,35.2,2026,29,3
2.98,1.26,2.7,2.4,1.0,33.9,15.3,1.5,2.2,185.5,酒居　知史,楽天,44.6,2026,33,2
3.26,1.27,1.4,2.5,0.6,26.9,12.0,2.4,2.1,150.0,ボー・タカハシ,西武,35.3,2026,29,3
2.95,1.28,0.9,1.2,0.5,16.4,7.7,0.8,1.2,91.3,漆原　大晟,阪神,21.7,2026,29,3
3.03,1.28,1.1,1.1,0.6,17.8,7.7,1.0,1.5,93.2,佐々木　千隼,DeNA,22.1,2026,31,3
2.69,1.16,8.1,10.0,1.1,100.7,36.5,5.1,7.9,602.6,森下　暢仁,広島,146.9,2026,28,3
3.11,1.2,3.4,4.3,2.9,53.1,20.6,2.7,5.6,258.3,小澤　怜史,ヤクルト,62.2,2026,28,3
3.05,1.24,4.6,4.4,1.8,64.6,27.3,3.1,5.6,346.9,板東　湧梧,ソフトバンク,83.0,2026,30,1
3.01,1.24,2.7,2.5,1.1,37.1,14.8,3.0,3.1,200.5,安樂　智大,楽天,47.3,2026,29,1
3.73,1.39,6.7,7.2,1.1,76.0,27.5,3.6,10.4,516.7,岸　孝之,楽天,123.3,2026,41,3
3.23,1.23,6.2,6.3,1.0,79.4,27.4,2.1,8.4,434.2,田嶋　大樹,オリックス,103.8,2026,29,3
2.47,1.18,3.1,2.2,1.8,46.7,19.0,1.5,2.4,219.2,清水　達也,中日,52.8,2026,26,3
2.93,1.2,0.7,0.6,0.3,9.2,3.3,0.4,0.9,48.1,北浦　竜次,日本ハム,11.5,2026,26,2
3.25,1.21,3.6,4.1,1.2,58.9,17.2,2.5,4.6,307.4,カスティーヨ,オリックス,74.9,2026,37,2
3.33,1.27,0.8,0.8,0.4,12.9,5.5,0.7,1.2,67.4,フェリス,中日,16.0,2026,32,2
3.05,1.25,1.2,1.5,0.7,20.6,8.3,1.1,1.7,108.0,メネズ,日本ハム,25.7,2026,30,1
3.18,1.28,0.3,0.3,0.2,4.3,1.6,0.2,0.4,21.8,鍵谷　陽平,日本ハム,5.2,2026,35,2
3.61,1.31,1.2,1.4,0.5,21.9,8.7,1.7,2.0,107.8,坂本　光士郎,ロッテ,25.3,2026,31,3
3.2,1.25,5.6,5.3,2.0,76.4,26.9,4.3,7.4,418.1,ピーターズ,ヤクルト,100.7,2026,33,1
3.05,1.18,2.1,3.5,3.5,40.4,12.3,1.4,3.8,187.4,伊勢　大夢,DeNA,45.4,2026,28,3
3.66,1.39,3.7,3.4,1.0,46.8,16.2,2.3,4.6,240.5,和田　毅,ソフトバンク,57.9,2026,45,2
3.2,1.23,0.6,0.6,0.4,11.2,4.5,0.5,1.1,58.3,吉田　凌,ロッテ,13.8,2026,28,2
3.18,1.22,2.4,2.6,0.7,33.5,13.2,2.1,3.7,201.0,アドゥワ　誠,広島,47.5,2026,27,3
3.02,1.2,8.4,5.8,1.1,76.6,27.1,3.5,11.2,525.2,山﨑　福也,日本ハム,128.1,2026,33,3
2.99,1.19,0.5,0.5,0.2,7.4,2.9,0.3,0.8,38.1,松井　颯,巨人,9.0,2026,25,2
